1960,1970,1980,1985,1990,1995,2000,2005,2006,2007,2008,2009,2010,2011,2012,
Afghanistan,0,0,0.209,0,0.246,0,0.236,0.322,0.339,0.346,0.343,0.361,0.368,0.371,0.374,
Albania,0,0,0,0,0.661,0,0.698,0.729,0.733,0.737,0.741,0.743,0.746,0.748,0.749,
Algeria,0,0,0.461,0,0.562,0,0.625,0.68,0.685,0.691,0.695,0.708,0.71,0.711,0.713,
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0.846,0.847,0.846,
Angola,0,0,0,0,0,0,0.375,0.406,0.415,0.472,0.477,0.484,0.502,0.504,0.508,
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0.761,0.759,0.76,
Argentina,0,0,0.675,0,0.701,0,0.755,0.771,0.78,0.787,0.794,0.798,0.805,0.81,0.811,
Armenia,0,0,0,0,0.628,0,0.648,0.695,0.709,0.723,0.727,0.72,0.722,0.726,0.729,
Australia,0,0,0.857,0,0.88,0,0.914,0.927,0.929,0.931,0.933,0.934,0.935,0.936,0.938,
Austria,0,0,0.747,0,0.797,0,0.848,0.867,0.874,0.879,0.885,0.888,0.892,0.894,0.895,
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0.734,0.732,0.734,
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0.791,0.792,0.794,
Bahrain,0,0,0.644,0,0.713,0,0.781,0.802,0.802,0.802,0.799,0.793,0.794,0.795,0.796,
Bangladesh,0,0,0.312,0,0.361,0,0.433,0.472,0.481,0.488,0.495,0.502,0.508,0.511,0.515,
Barbados,0,0,0.706,0,0.76,0,0.79,0.798,0.797,0.808,0.809,0.821,0.823,0.824,0.825,
Belarus,0,0,0,0,0,0,0,0.73,0.743,0.756,0.768,0.78,0.785,0.789,0.793,
Belgium,0,0,0.764,0,0.817,0,0.884,0.884,0.888,0.891,0.894,0.893,0.896,0.897,0.897,
Belize,0,0,0.621,0,0.653,0,0.672,0.694,0.696,0.696,0.698,0.7,0.7,0.701,0.702,
Benin,0,0,0.253,0,0.314,0,0.38,0.414,0.416,0.42,0.425,0.429,0.432,0.434,0.436,
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0.525,0.532,0.538,
Bolivia (Plurinational State of),0,0,0.489,0,0.557,0,0.62,0.647,0.653,0.652,0.659,0.663,0.668,0.671,0.675,
Bosnia and Herzegovina,0,0,0,0,0,0,0,0.724,0,0.729,0.734,0.733,0.733,0.734,0.735,
Botswana,0,0,0.449,0,0.586,0,0.587,0.604,0.611,0.619,0.626,0.629,0.633,0.634,0.634,
Brazil,0,0,0.522,0,0.59,0,0.669,0.699,0.704,0.71,0.716,0.719,0.726,0.728,0.73,
Brunei Darussalam,0,0,0.765,0,0.782,0,0.83,0.848,0.853,0.853,0.852,0.853,0.854,0.854,0.855,
Bulgaria,0,0,0.673,0,0.704,0,0.721,0.756,0.76,0.766,0.773,0.774,0.778,0.78,0.782,
Burkina Faso,0,0,0,0,0,0,0,0.301,0.307,0.314,0.322,0.327,0.334,0.34,0.343,
Burundi,0,0,0.217,0,0.272,0,0.27,0.298,0.313,0.323,0.331,0.34,0.348,0.352,0.355,
Cambodia,0,0,0,0,0,0,0.444,0.501,0.511,0.52,0.526,0.528,0.532,0.538,0.543,
Cameroon,0,0,0.373,0,0.431,0,0.429,0.453,0.455,0.459,0.474,0.482,0.488,0.492,0.495,
Canada,0,0,0.825,0,0.865,0,0.887,0.906,0.908,0.909,0.909,0.907,0.909,0.91,0.911,
Cape Verde,0,0,0,0,0,0,0.532,0,0,0,0,0,0.581,0.584,0.586,
Central African Republic,0,0,0.285,0,0.312,0,0.294,0.308,0.312,0.316,0.333,0.339,0.344,0.348,0.352,
Chad,0,0,0,0,0,0,0.29,0.317,0.316,0.319,0.321,0.331,0.336,0.336,0.34,
Chile,0,0,0.638,0,0.702,0,0.759,0.789,0.791,0.8,0.807,0.808,0.813,0.817,0.819,
China,0,0,0.407,0,0.495,0,0.59,0.637,0.65,0.662,0.672,0.68,0.689,0.695,0.699,
Colombia,0,0,0.556,0,0.6,0,0.658,0.681,0.69,0.698,0.704,0.71,0.714,0.717,0.719,
Comoros,0,0,0,0,0,0,0,0.425,0.425,0.425,0.424,0.425,0.426,0.428,0.429,
Congo,0,0,0.47,0,0.51,0,0.482,0.506,0.509,0.511,0.519,0.522,0.529,0.531,0.534,
Congo (Democratic Republic of the),0,0,0.286,0,0.297,0,0.234,0.258,0.262,0.28,0.282,0.289,0.295,0.299,0.304,
Costa Rica,0,0,0.621,0,0.663,0,0.705,0.732,0.738,0.744,0.747,0.747,0.768,0.77,0.773,
Côte d'Ivoire,0,0,0.348,0,0.36,0,0.392,0.405,0.408,0.412,0.417,0.422,0.427,0.426,0.432,
Croatia,0,0,0,0,0.716,0,0.755,0.787,0.792,0.798,0.801,0.8,0.804,0.804,0.805,
Cuba,0,0,0.626,0,0.681,0,0.69,0.735,0.755,0.77,0.779,0.781,0.775,0.777,0.78,
Cyprus,0,0,0.715,0,0.779,0,0.808,0.817,0.822,0.827,0.835,0.845,0.849,0.849,0.848,
Czech Republic,0,0,0,0,0,0,0.824,0.862,0.866,0.869,0.873,0.87,0.871,0.872,0.873,
Denmark,0,0,0.79,0,0.816,0,0.869,0.893,0.895,0.898,0.898,0.897,0.899,0.901,0.901,
Djibouti,0,0,0,0,0,0,0,0.405,0.411,0.419,0.422,0.429,0.431,0.442,0.445,
Dominica,0,0,0,0,0,0,0.722,0.732,0.737,0.739,0.741,0.742,0.743,0.744,0.745,
Dominican Republic,0,0,0.525,0,0.584,0,0.641,0.669,0.676,0.683,0.688,0.691,0.697,0.7,0.702,
Ecuador,0,0,0.596,0,0.635,0,0.659,0.682,0.686,0.688,0.715,0.716,0.719,0.722,0.724,
Egypt,0,0,0.407,0,0.502,0,0.593,0.625,0.633,0.64,0.647,0.653,0.661,0.661,0.662,
El Salvador,0,0,0.471,0,0.528,0,0.62,0.655,0.661,0.671,0.67,0.672,0.678,0.679,0.68,
Equatorial Guinea,0,0,0,0,0,0,0.498,0.523,0.526,0.533,0.543,0.552,0.547,0.551,0.554,
