1960,1970,1980,1985,1990,1995,2000,2005,2006,2007,2008,2009,2010,2011,2012,
Afghanistan,0,0,0.303,0,0.352,0,0.399,0.42,0.424,0.429,0.434,0.44,0.446,0.452,0.459,
Albania,0,0,0.783,0,0.814,0,0.854,0.883,0.886,0.889,0.891,0.893,0.896,0.898,0.9,
Algeria,0,0,0.625,0,0.743,0,0.79,0.815,0.819,0.823,0.827,0.831,0.834,0.838,0.842,
Andorra,0,0,0.865,0,0.891,0,0.929,0.949,0.952,0.954,0.956,0.957,0.959,0.961,0.963,
Angola,0,0,0.318,0,0.334,0,0.398,0.451,0.458,0.465,0.471,0.478,0.484,0.49,0.497,
Antigua and Barbuda,0,0,0.739,0,0.771,0,0.804,0.817,0.819,0.822,0.824,0.826,0.828,0.83,0.832,
Argentina,0,0,0.779,0,0.813,0,0.848,0.865,0.868,0.871,0.874,0.876,0.879,0.882,0.884,
Armenia,0,0,0.803,0,0.755,0,0.807,0.839,0.842,0.846,0.848,0.851,0.853,0.856,0.858,
Australia,0,0,0.857,0,0.895,0,0.939,0.961,0.965,0.967,0.97,0.972,0.974,0.976,0.978,
Austria,0,0,0.829,0,0.875,0,0.916,0.94,0.944,0.948,0.951,0.955,0.957,0.96,0.962,
Azerbaijan,0,0,0.709,0,0.708,0,0.739,0.773,0.78,0.786,0.791,0.795,0.798,0.8,0.802,
Bahamas,0,0,0.752,0,0.778,0,0.816,0.847,0.854,0.86,0.865,0.87,0.874,0.877,0.881,
Bahrain,0,0,0.783,0,0.825,0,0.847,0.857,0.858,0.86,0.862,0.864,0.866,0.868,0.87,
Bangladesh,0,0,0.556,0,0.623,0,0.706,0.74,0.746,0.752,0.757,0.762,0.767,0.772,0.777,
Barbados,0,0,0.822,0,0.862,0,0.876,0.883,0.884,0.886,0.889,0.891,0.894,0.896,0.899,
Belarus,0,0,0.801,0,0.8,0,0.759,0.771,0.774,0.778,0.782,0.786,0.79,0.794,0.798,
Belgium,0,0,0.84,0,0.884,0,0.912,0.931,0.935,0.939,0.942,0.944,0.946,0.947,0.947,
Belize,0,0,0.791,0,0.828,0,0.844,0.86,0.865,0.869,0.874,0.877,0.881,0.884,0.888,
Benin,0,0,0.4,0,0.453,0,0.515,0.535,0.539,0.544,0.55,0.556,0.562,0.569,0.576,
Bhutan,0,0,0.415,0,0.513,0,0.652,0.707,0.714,0.721,0.727,0.732,0.738,0.744,0.75,
Bolivia (Plurinational State of),0,0,0.504,0,0.612,0,0.678,0.706,0.711,0.716,0.721,0.726,0.73,0.735,0.74,
Bosnia and Herzegovina,0,0,0.796,0,0.737,0,0.86,0.865,0.867,0.869,0.871,0.873,0.876,0.878,0.88,
Botswana,0,0,0.641,0,0.696,0,0.487,0.482,0.496,0.508,0.518,0.523,0.525,0.523,0.521,
Brazil,0,0,0.67,0,0.73,0,0.791,0.813,0.818,0.822,0.828,0.833,0.838,0.844,0.849,
Brunei Darussalam,0,0,0.798,0,0.844,0,0.886,0.902,0.904,0.906,0.909,0.911,0.913,0.915,0.917,
Bulgaria,0,0,0.807,0,0.808,0,0.811,0.827,0.829,0.831,0.833,0.836,0.839,0.842,0.845,
Burkina Faso,0,0,0.416,0,0.45,0,0.478,0.513,0.521,0.529,0.537,0.545,0.552,0.559,0.566,
Burundi,0,0,0.426,0,0.415,0,0.412,0.439,0.445,0.452,0.458,0.465,0.472,0.48,0.487,
Cambodia,0,0,0.295,0,0.561,0,0.594,0.633,0.642,0.65,0.658,0.666,0.673,0.68,0.687,
Cameroon,0,0,0.492,0,0.525,0,0.475,0.464,0.467,0.471,0.476,0.483,0.49,0.499,0.507,
Canada,0,0,0.868,0,0.904,0,0.932,0.949,0.951,0.954,0.956,0.958,0.96,0.962,0.964,
Cape Verde,0,0,0.63,0,0.714,0,0.784,0.826,0.834,0.84,0.845,0.849,0.852,0.854,0.856,
Central African Republic,0,0,0.455,0,0.455,0,0.374,0.385,0.393,0.403,0.414,0.425,0.436,0.448,0.459,
Chad,0,0,0.44,0,0.484,0,0.45,0.443,0.445,0.448,0.452,0.456,0.461,0.466,0.471,
Chile,0,0,0.777,0,0.847,0,0.898,0.921,0.923,0.925,0.927,0.929,0.93,0.932,0.935,
China,0,0,0.742,0,0.78,0,0.808,0.822,0.826,0.829,0.833,0.836,0.84,0.843,0.846,
Colombia,0,0,0.717,0,0.762,0,0.805,0.825,0.829,0.833,0.837,0.84,0.844,0.847,0.85,
Comoros,0,0,0.504,0,0.562,0,0.598,0.615,0.619,0.624,0.629,0.635,0.641,0.648,0.654,
Congo,0,0,0.572,0,0.572,0,0.539,0.554,0.559,0.565,0.571,0.577,0.583,0.59,0.596,
