"Country","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
Afghanistan,17.18,34.67,16.83,36.67,46.17,53.93,47.98,37.95,26.2,25.21,18.59,43.59,53.18,53.27,46.18,66.45,73.43,85.61,82.52,126.9,34.8,23.77,9.19,13.14,5.29,-6.42,1.91,45.28,72.36,148.32,121.72,507.53,204.9,223.8,226.42,212.53,169.63,230.75,164.2,142.86,136.01,410.36,1309.77,1594.32,2312.94,2892.55,2987.69,4959.46,4898.5,6277.53,6498.2,6812.82,0
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,10.34,11.05,345.8,596.09,317.67,175.35,208.46,252.27,163.82,268.25,483.79,316.38,265.16,319.8,374.79,382.44,426.48,351.55,368.69,473.21,417.3,382.19,495.77,0
Algeria,404.85,433.01,392.63,276.11,243.24,140.23,120.42,101.99,113.53,100.32,118.57,158.99,124.23,266.85,263.35,371.92,356.71,633.16,937.5,569.22,456.01,544.58,430.9,270.2,282.81,125.41,-53.39,-161.35,-221.68,230.02,875.58,897.66,562.33,957.02,760.59,1986.06,3349.97,961.77,646.22,-56.97,-41.76,198.38,-19.76,-25.14,-1260.74,-1159.89,-4102.48,247.67,41.95,115.14,102.95,21.7,0
Angola,-0.05,23.55,0,0.03,0,1.11,2.86,18.18,2.19,8.57,1.11,-1.63,-0.92,0.27,-0.63,4.76,16.48,46.57,45.98,46.06,58.79,100.22,125.31,69.72,81.37,136.22,162.98,179.92,156.85,162.15,343.45,288.17,296.64,296.09,812.26,489.55,463.42,295.79,279.56,330.39,256.29,271.21,460.91,482.94,398.63,406.72,150.43,232.96,500.19,224.66,292.87,232.33,0
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67,1.1,1.11,2.34,2.25,2.3,2.63,1.95,2.34,1.71,2.66,3.17,3.58,4.02,5.42,3.92,6.82,4.99,7.01,6.51,3.49,3.35,2.22,0.81,2.27,7.67,4.47,5.26,4.25,2.83,3.68,9.81,6.36,3.1,0.44,61.12,-0.91,0
Antigua & Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,3,2.26,3.4,5.5,3.63,3.28,6.38,9.5,5.32,4.87,3.65,16.49,22.85,8.28,11.05,4.44,-2.67,3.71,0.46,-0.84,1.27,-0.83,-4.37,2.06,10.01,11.29,9.88,7.65,12.14,8.48,4.16,7.05,1.84,8.23,11.04,15.94,18.97,48.71,0
Argentina,21.88,35.18,60.7,87.4,42.52,-44.4,-56.22,-8.18,-7.78,53.61,53.48,128.44,94.69,170,232.07,34.83,134.66,77.07,148.09,95.45,132.75,374.36,284.19,294.8,325.99,444.77,1036.8,1344.32,1012.56,755.14,903.81,794.15,537.09,3296.39,1290.21,2529.43,1189.43,697.02,2596.13,1892.57,677.13,1571.84,-1695.56,-678.33,-154.89,-435.72,-841.93,-641.66,-269.06,1358.61,680.6,578.26,0
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72,22.45,173.91,210.2,245.38,303.14,182.37,190.21,208.78,232.82,210.38,301.65,248.24,249.34,159.79,231.65,406.22,351.72,638.69,524.01,491.25,0
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.04,40.21,20.91,19.29,24.34,29.97,24.97,29.98,24.86,19.72,29.7,21.43,23.3,8.35,-8.25,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,13.63,40,216.05,131.87,105.29,295.56,299.83,349.6,204.82,222.56,380.98,1403.54,489.22,332.1,68.46,-76.78,-97.94,401.93,435.7,782.72,0
Bahamas,3.46,0,0,0.02,0.06,0.07,0.05,6.48,22.25,4.25,4.16,4.96,9.87,40.04,1.26,20.8,7.08,-19.66,1.24,-2.1,1.83,6.62,5.98,3.55,38.76,91.78,99.96,2.78,7.36,19.06,30.57,105.42,28.65,11.56,8.56,6.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,0.04,0.94,1.35,0.64,0.58,0.88,9.71,0.05,0.68,0.14,0.95,4.7,2.84,15.67,39.72,88.28,229.05,97.96,84.76,135.29,209.07,210.56,184.06,292.43,260.66,123.15,141.88,7.42,2.92,-5.43,136.69,99.11,67.87,108.88,96.58,98.09,132.1,154.25,251.83,61.64,60.2,69.06,61.58,155.68,58.22,0,0,0,0,0,0,0,0
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,15.36,223.76,426.62,531.75,1127.96,502.6,784.68,992.75,1162.34,1290.23,1238,1337.71,1044.69,1213.87,1119.45,1426.26,1789.74,1616.02,1816.37,2112.44,1885.62,1861.79,1451.9,1761.38,1272.98,1214.13,970.43,1143.53,1257.76,1172.13,1043.54,904.76,1399.07,1488.36,1459.76,1287.15,1626.4,2163.18,1901.94,1529.54,1644.82,0
Barbados,0,0,0,0,0,0,1.6,0.59,0.85,1.3,2.32,4.57,4.73,5.97,6.52,9.94,11.92,13.13,12.6,11.73,19.74,33.57,36.36,35.03,18.52,10.3,10.09,13.12,29.63,1.53,21.39,6.05,0.68,-10.97,-10.27,8.19,41.22,22.69,22.55,13.36,13.07,15.82,9.89,45.88,40.03,-2.79,53.28,25.06,26.26,16.04,59.9,0,0
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.49,68.7,52.67,135.9,350.84,219.29,194.9,0
Belize,1.82,2.82,5.52,4.06,1.55,2.13,2.58,5.54,5.52,6.68,5.95,5.07,8.87,4.7,6.68,9.24,11.93,9.67,18.33,20.72,15.42,12.86,12.28,21.51,16.79,27.58,24.53,23.57,24.89,34.84,38.46,29.18,34.26,35.78,44.54,23.39,24.94,23.12,25.47,50.44,31.82,30.6,29.11,29.47,17.98,10.84,21.82,37.28,19.48,39.45,21.85,30.37,0
Benin,0.02,1.48,3.75,4.16,18.07,17.88,14.92,19.81,13.47,13.09,15.04,28.68,19.91,26.32,34.56,54.21,51.83,52.78,64.33,88.03,91.7,87.09,79.64,83.31,76.54,95.72,135.25,134.59,234.15,313.8,294.79,264.61,277.31,306.23,254.62,282.22,284.79,218.92,203.49,211.16,232.49,277.11,220.46,295.99,385.36,346.27,398.49,473.02,648.64,682.81,670.69,674.17,0
Bermuda,0,0,0,0,0.01,0.05,0.06,0.06,6.25,0,-0.47,-1.84,14.86,43.42,-0.97,2.97,7.13,14.34,18.45,3.47,1.58,-5.57,27.17,45.07,-10.1,-40.47,-27.72,-22.36,-49.4,10.84,51,8.85,-6.98,14.4,-13.48,27.42,6.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,0,0,0,0.01,0.01,0.16,0.05,0.01,0.14,0.1,0.21,0.14,0.19,0.52,0.61,2.1,3.22,2.9,3.12,4.96,8.06,9.65,11.25,12.92,17.24,23.39,38.93,40.46,40.65,40.57,46,61.41,54.73,63.15,73.1,71.22,57.42,65.49,55.69,66.73,53,60.39,87.33,90.85,89.22,94.87,101.54,88.66,85.53,133.29,147.76,156.09,0
Bolivia,12.08,23.53,35.91,53.5,40.92,33.96,30.04,27.47,54.87,40.89,35.46,61.82,67.46,28.64,58.78,61.59,95.99,128.54,196.54,202.87,228.69,188.28,154.37,175.98,168.79,203,345.11,470.45,487.92,607.04,576.2,581.01,823.39,623.39,628.03,712.37,795.43,587.29,566.07,521.01,445.88,651.46,624.93,945.49,725.96,618.92,767.93,441.38,693.08,641.38,771.54,573.21,0
Bosnia-Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,15.69,70.24,408.57,965.85,826.71,869.13,934.83,1374.43,775.87,654.52,572.73,565.53,737.7,578.22,634.52,790.51,638.68,473.14,554.93,399.69,0
Botswana,3.43,5.46,5.24,5.33,8.87,10.3,17.88,18.26,16.74,13.36,14.2,17.65,86.72,83.86,43.11,53.66,49.49,40.16,43.19,95.59,109.5,109.88,116.87,127.88,165.31,151.8,169.89,211.57,136.82,119.22,167.44,148.11,130.22,136.26,62.31,68.62,61.24,110.39,98.66,62.86,34.18,12.11,20.8,18.23,37.67,63.86,68.05,93.14,735.79,1246.02,155.1,722.45,0
Brazil,34.21,283.97,174.26,196.94,241.7,220.67,261.16,169.62,220.25,223.65,256.14,297.75,424.81,494.44,843.72,759.47,552.55,490.34,526.88,621.38,886.22,1256.17,1152.27,1533.74,1886.79,2069.52,1667.59,1850.69,517.35,917.21,526.53,522.11,564.27,208.19,-393.48,-40.27,183.34,1732.17,2278.84,3995.09,4097.66,2758.56,1694.94,-288.91,-2491.51,174.99,2074.88,946.16,1806.75,2163.46,4366.45,-3203.6,0
Brunei,0.01,0.48,0.73,0.04,0.07,0.08,0.08,0.07,0.03,-0.75,0.01,6.13,3.02,4.12,0.15,0.14,-19.89,0.08,0.1,0.09,0.03,0.19,0.27,0.44,0.81,1.4,2.54,3.24,4.52,4.56,-4.51,3.62,5.37,219.47,5.26,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
